super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
Doncaster 037,E02001575,2417,66,49,139,360,667,60,47,22,43,60,138,282,548,79,50,9,1094
Doncaster 038,E02001576,2237,33,41,94,274,664,126,53,26,48,37,120,261,568,92,41,24,1021
Doncaster 039,E02001577,3073,37,60,131,306,891,216,112,29,40,37,120,239,829,179,81,28,1402
Rotherham 001,E02001578,3216,73,58,183,460,875,101,47,14,70,74,170,412,733,98,34,15,1483
Rotherham 002,E02001579,3624,56,67,172,464,1019,167,89,24,63,82,187,400,891,146,70,19,1671
Rotherham 003,E02001580,3659,52,80,170,434,1048,175,71,23,50,100,186,390,913,163,66,24,1717
Rotherham 004,E02001581,2517,57,62,114,342,688,112,71,0,42,26,115,274,647,104,66,15,1169
Rotherham 005,E02001582,3064,40,60,149,414,856,124,71,27,60,59,134,332,743,111,27,13,1374
Rotherham 006,E02001583,2350,45,67,122,347,612,104,45,17,32,74,126,276,546,89,33,28,1070
Rotherham 007,E02001584,3776,57,65,175,377,1073,179,99,38,67,63,161,370,1059,118,75,19,1799
Rotherham 008,E02001585,2399,39,56,106,411,615,75,31,14,58,70,136,354,493,89,13,21,1109
Rotherham 009,E02001586,3503,72,67,177,480,895,177,98,35,32,72,145,396,785,147,80,18,1581
Rotherham 010,E02001587,2287,39,22,113,321,622,97,36,8,47,39,107,272,522,96,29,36,1080
Rotherham 011,E02001588,2561,50,59,138,366,703,98,61,35,37,97,124,291,614,97,73,25,1173
Rotherham 012,E02001589,2783,28,58,119,352,780,156,67,14,30,61,129,306,705,129,53,21,1302
Rotherham 013,E02001590,2278,44,74,137,349,565,88,38,27,43,75,134,277,489,65,52,14,1017
Rotherham 014,E02001591,2976,61,76,162,420,726,109,62,29,55,95,163,373,699,98,59,23,1426
Rotherham 015,E02001592,4391,101,87,170,471,1274,197,108,4,83,85,175,421,1115,173,91,13,2051
